MODEL_NAME,NUM_EPOCHS,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-08-04T14-20-33_tanh_4_54,200,100,5,tanh,4,1,0.0057571,0.1120413,0.007989,0.1235086,0.0036008,0.0974553,0.2547520227610287,-0.4130877038750764,-25.06164740070316,0.4454108828319427,-5.944254044039372
2026-08-04T14-20-33_tanh_4_55,200,100,5,tanh,4,1,0.0257927,0.2200655,0.0186829,0.2099639,0.0228861,0.2238277,-0.4754610456116239,-0.4785601861780361,-8.13377921251286,0.8627678834821362,-4.496852438973242e-05
2026-08-04T14-20-33_tanh_4_56,200,100,5,tanh,4,1,0.0167002,0.1953639,0.0433594,0.2755178,0.0111637,0.1696422,0.0613444611107609,-0.0421710943389095,-15.71730380474391,0.6862162706781793,-0.967497004776144
2026-08-04T14-20-33_tanh_4_57,200,100,5,tanh,4,1,0.0053638,0.1004079,0.004376,0.096246,0.0031965,0.0849015,0.4935816810384656,-0.0065310539178679,-10.360407870216712,0.7861570056967437,-0.9218662957714446
2026-08-04T14-20-33_tanh_4_58,200,100,5,tanh,4,1,0.0073772,0.1270825,0.0085672,0.1383684,0.0140831,0.1770524,-0.7839234331199878,-0.7901695499810331,-4.919073939960017,0.8498001526226799,0.0
2026-08-04T14-20-33_tanh_4_59,200,100,5,tanh,4,1,0.0078052,0.1338165,0.0084072,0.1275154,0.0116006,0.1542966,0.2055969933525959,-0.0074179503276115,-11.39329171524698,0.7444643611347563,-0.9872718937514458
2026-08-04T14-20-33_tanh_4_60,200,100,5,tanh,4,1,0.0045928,0.100233,0.0105314,0.1498667,0.0092351,0.1339489,0.6707893673550545,0.0041193103340104,-12.22070406118766,0.5505411568985059,-6.137877181333666
2026-08-04T14-20-33_tanh_4_61,200,100,5,tanh,4,1,0.0037342,0.0885403,0.0022428,0.0736454,0.0057985,0.1090432,0.168266655402939,-0.0162565876495991,-14.76946492394641,0.6150797576565765,-2.023174148010361
2026-08-04T14-20-33_tanh_4_62,200,100,5,tanh,4,1,0.007316,0.1275466,0.0113894,0.1680634,0.0086892,0.1302612,0.0227400362494234,-0.0286665277647242,-11.722152799727716,0.7554879323509073,-0.9886806486179844
2026-08-04T14-20-33_tanh_4_63,200,100,5,tanh,4,1,0.0024458,0.0755156,0.0017935,0.0655907,0.0018733,0.0676975,0.8942737369762457,-0.0010148600753498,-14.639727451493178,0.5827746767556866,-3.4525868695593003
2026-08-04T14-20-33_tanh_4_64,200,100,5,tanh,4,1,0.008958,0.1417518,0.0111742,0.1474902,0.0174275,0.2011973,0.0009265436725119,-0.2535408484159384,-8.234553258409651,0.736785696366675,-1.4995932407968386
2026-08-04T14-20-33_tanh_4_65,200,100,5,tanh,4,1,0.005233,0.1043946,0.0078174,0.1283495,0.0027685,0.0772158,0.0208004302708798,-0.3262710908219191,-12.935798252603371,0.8026189980695181,-0.3692957735795393
2026-08-04T14-20-33_tanh_4_66,200,100,5,tanh,4,1,0.0130611,0.1752601,0.007722,0.1358537,0.0161082,0.1877949,-0.19700721443083,-0.1978674100071143,-12.783021327292843,0.8678788788462558,-7.096895527913816e-05
2026-08-04T14-20-33_tanh_4_67,200,100,5,tanh,4,1,0.0122192,0.1611019,0.0077562,0.1375242,0.0124382,0.174837,-14.11296239352834,-15.365924602128617,-42.53986740375769,0.3852170619224037,-4.056604660783996
