MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
2026-08-22T05-43-37_Tanh()_24_39,200,8,8,200,5,Tanh(),24,1,0.0010137,0.0840211,0.001454,0.1017248,0.0021522,0.1169568,"[ 1.44519727e+00  4.45407323e-01 -8.13213128e-04 -3.81649271e-01
 -1.08810939e+00 -1.89835238e+00 -2.69786039e+00 -4.77013789e+00]","[1.02650493 1.00813496 0.98320669 0.95639561 0.93651301 0.89594431
 0.86331118 0.79237746]","[-1.16635843 -1.02510756 -0.85845318 -1.05110088 -0.83156162 -1.06469959
 -0.78712021 -1.00900344]"
2026-08-22T05-43-37_Tanh()_24_40,200,8,8,200,5,Tanh(),24,1,0.0010987,0.0865914,0.002952,0.1377345,0.0033167,0.1356143,"[  0.22780299  -0.67987629  -4.58187755 -10.94159689 -23.23585784
 -24.13876058 -40.2925473  -53.29076698]","[1.13455804 1.00891429 0.91236954 0.80944259 0.67837841 0.5318451
 0.39698848 0.24831655]","[-28.41411563 -11.90108812 -11.17753367  -9.04868328 -10.71715486
 -13.51634341 -12.34185887 -13.1039311 ]"
2026-08-22T05-43-37_Tanh()_24_41,200,8,8,200,5,Tanh(),24,1,0.0014977,0.1015044,0.002368,0.1301086,0.0018582,0.1133425,"[  0.16340074  -0.86733978  -3.96291419 -12.32839069 -14.11367511
 -14.22711687 -14.65358788 -14.84557412]","[1.20548837 1.05826177 1.02659678 0.91296663 0.85025263 0.76179164
 0.73162629 0.62115603]","[-1.16526903 -0.37156136 -0.3960032  -0.69227842 -0.42031012 -0.56631465
 -0.6534549  -1.06483545]"
2026-08-22T05-43-37_Tanh()_24_42,200,8,8,200,5,Tanh(),24,1,0.0007928,0.0745888,0.0014351,0.0998182,0.0018094,0.1096375,"[ 1.5303861   0.58344495 -0.01193366 -0.33003138 -1.05809493 -1.81394109
 -2.79072793 -4.34289742]","[1.03263276 1.00516133 0.98955491 0.96858534 0.9379419  0.90354101
 0.85726234 0.80750712]","[-2.01977973 -1.51200117 -1.15610882 -2.05441623 -1.17614343 -0.92087374
 -1.31045066 -1.14287708]"
2026-08-22T05-43-37_Tanh()_24_43,200,8,8,200,5,Tanh(),24,1,0.0014279,0.099785,0.0015394,0.1050769,0.0024666,0.1246338,"[ 1.32564906  0.33101141 -1.02177538 -1.3705035  -2.19760165 -3.06723361
 -6.51109211 -7.63385514]","[1.02974615 1.00687622 0.94471396 0.87055434 0.80181691 0.72794446
 0.69328242 0.5862668 ]","[-19.67943674  -6.67783329  -5.96201936  -4.94490062  -7.66332407
  -8.01375854  -5.71154991  -8.9551424 ]"
2026-08-22T05-43-37_Tanh()_24_44,200,8,8,200,5,Tanh(),24,1,0.0008709,0.0781374,0.0012051,0.0895558,0.0017683,0.1068355,"[ 1.45536310e+00  4.21975171e-01 -1.20163557e-03 -2.96118597e-01
 -9.75747171e-01 -1.70069808e+00 -2.72515807e+00 -4.87743293e+00]","[1.02933129 1.00039209 0.98481055 0.95493229 0.92790868 0.88059045
 0.82237121 0.75350679]","[-2.80223165 -2.12062848 -1.64321469 -1.68365314 -1.41303563 -1.59277715
 -2.22012548 -1.8279213 ]"
2026-08-22T05-43-37_Tanh()_24_45,200,8,8,200,5,Tanh(),24,1,0.0010756,0.0870006,0.0015302,0.1029929,0.0014386,0.099268,"[ 1.3609847   0.49229464  0.0137637  -0.30415087 -0.97480622 -1.73272808
 -2.60450858 -4.4384413 ]","[1.02249578 1.00607073 0.98705927 0.96881473 0.94965686 0.92201437
 0.88911457 0.82702282]","[-0.74305589 -0.71371173 -0.82939757 -0.70253917 -0.73243092 -0.64243781
 -0.61355016 -0.5595536 ]"
2026-08-22T05-43-37_Tanh()_24_46,200,8,8,200,5,Tanh(),24,1,0.0008395,0.0756848,0.0013942,0.0975759,0.0019702,0.1002948,"[ 1.52943948  0.58057499  0.00858686 -0.24308856 -1.03320497 -1.75842844
 -2.75980499 -4.73543723]","[1.02615826 1.00730978 0.98974707 0.96977953 0.95106594 0.92398722
 0.88530133 0.82853265]","[-0.75168904 -0.6387355  -0.8386815  -0.76022488 -0.71868876 -0.63527781
 -0.70939208 -0.56696516]"
2026-08-22T05-43-37_Tanh()_24_47,200,8,8,200,5,Tanh(),24,1,0.0005016,0.0590697,0.0007154,0.070606,0.0009983,0.0747822,"[ 1.48300156e+00  4.67422319e-01  3.59443525e-03 -3.48125472e-01
 -1.15097572e+00 -1.92688520e+00 -2.80487919e+00 -4.84444791e+00]","[1.027937   1.00305065 0.96147075 0.93268756 0.90454051 0.87745092
 0.82448642 0.7824578 ]","[-6.27234897 -3.28910393 -4.55909205 -3.19963054 -3.61868223 -3.81291063
 -3.99043002 -4.08847869]"
2026-08-22T05-43-37_Tanh()_24_48,200,8,8,200,5,Tanh(),24,1,0.0008391,0.077516,0.002052,0.1144815,0.0019255,0.11261,"[   0.15109697   -0.84154522  -10.02970378  -17.5452266   -41.2937867
  -65.29412737  -89.63153391 -128.01247659]","[1.35855589 1.11808242 0.86449042 0.67596747 0.46073772 0.33740911
 0.26298883 0.08086675]","[-48.94641578 -22.28890732 -25.78229835 -24.2386583  -17.22739528
 -26.34078042 -13.60369063 -16.32818857]"
2026-08-22T05-43-37_Tanh()_24_49,200,8,8,200,5,Tanh(),24,1,0.0017489,0.1109988,0.002017,0.1196248,0.0027272,0.1354446,"[-18.07786293 -18.62442548 -21.29160407 -25.75582505 -39.6050772
 -40.06821742 -50.02242418 -73.03490141]","[1.14050948 1.05794992 0.86277689 0.73314153 0.6592454  0.55438484
 0.51716234 0.45273187]","[-3.70889495 -5.76706298 -4.37773144 -4.8079657  -4.84948844 -6.9372813
 -5.17776943 -5.30085006]"
2026-08-22T05-43-37_Tanh()_24_50,200,8,8,200,5,Tanh(),24,1,0.0003445,0.0494041,0.0007954,0.0730551,0.0006483,0.0672814,"[ 1.49630721  0.48612507  0.01223612 -0.33805629 -1.05275241 -1.66455808
 -2.58622007 -4.77965959]","[1.02494825 1.00624771 0.99148342 0.97303076 0.95408251 0.93104979
 0.90782471 0.86483622]","[-0.448849   -0.52948077 -0.67534247 -0.65880876 -0.76973891 -0.68179738
 -0.67397497 -0.44306298]"
2026-08-22T10-47-11_Tanh()_32_1,200,8,8,200,5,Tanh(),32,1,3.49e-05,0.0158778,5.74e-05,0.0193205,6.77e-05,0.0217021,"[ 1.58498269e+00  4.57526332e-01 -2.12240158e-03 -3.98588325e-01
 -9.74933867e-01 -1.51236160e+00 -2.52469909e+00 -4.78182704e+00]","[1.03591856 1.00381553 0.99301541 0.97800364 0.96544962 0.94513851
 0.92330333 0.88619544]","[-0.33154356 -0.47693478 -0.44951281 -0.4198483  -0.44405733 -0.34805774
 -0.32754932 -0.19551941]"
2026-08-22T10-47-11_Tanh()_32_2,200,8,8,200,5,Tanh(),32,1,4e-05,0.0170533,7.81e-05,0.02304,8.08e-05,0.0225004,"[ 1.56426002e+00  4.10136221e-01 -3.97614650e-03 -4.72678907e-01
 -9.80781045e-01 -1.54622545e+00 -2.53346797e+00 -4.70289689e+00]","[1.03531531 1.00379602 0.99264141 0.97936715 0.96637161 0.94523771
 0.92069123 0.88634311]","[-0.33498734 -0.42107995 -0.38795442 -0.41436357 -0.42781969 -0.36310165
 -0.36834683 -0.22198733]"
2026-08-22T10-47-11_Tanh()_32_3,200,8,8,200,5,Tanh(),32,1,4.5e-05,0.0181067,9.17e-05,0.0252004,9.49e-05,0.024957,"[ 1.60108467e+00  4.51612209e-01 -2.88263040e-03 -4.02846900e-01
 -9.88159598e-01 -1.61007971e+00 -2.62919950e+00 -4.63306935e+00]","[1.03508436 1.00397967 0.99200033 0.97785166 0.96126828 0.94224426
 0.92219778 0.89030651]","[-0.30775092 -0.45357793 -0.4523136  -0.45004443 -0.49460306 -0.33983133
 -0.29682153 -0.2253908 ]"
2026-08-22T10-47-11_Tanh()_32_4,200,8,8,200,5,Tanh(),32,1,2.34e-05,0.0129837,7.09e-05,0.0211884,4.66e-05,0.0178716,"[ 1.58744678e+00  3.91040897e-01  8.33440333e-04 -4.38683257e-01
 -9.57503219e-01 -1.53009868e+00 -2.49466588e+00 -4.81058919e+00]","[1.03259182 1.00395884 0.99317896 0.97854897 0.9666667  0.94513592
 0.92531092 0.88911661]","[-0.33490514 -0.43980166 -0.39686431 -0.39423648 -0.39034961 -0.32182442
 -0.29381581 -0.21371563]"
