MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_1",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.61e-05,0.0159842,5.41e-05,0.0188746,5.51e-05,0.0197264,"[ 1.48613091  0.43733012  0.00823389 -0.39535076 -0.88002323 -1.53141679
 -2.46726762 -4.71657202]","[1.03306092 1.00472271 0.99265669 0.97980825 0.96884966 0.94531812
 0.92345746 0.89209987]","[-0.28849337 -0.44103623 -0.45847112 -0.43487046 -0.38828655 -0.33228944
 -0.3033336  -0.20084705]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_2",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.73e-05,0.0164686,6.44e-05,0.0206633,7.22e-05,0.0221385,"[ 1.58768862e+00  4.35586409e-01 -2.83115169e-03 -4.38768033e-01
 -9.50790733e-01 -1.51329841e+00 -2.55482388e+00 -4.53631462e+00]","[1.03393095 1.00533074 0.9939014  0.97988145 0.96742831 0.94583639
 0.92361297 0.88557639]","[-0.28364727 -0.40538401 -0.41009148 -0.38856735 -0.36368884 -0.37801948
 -0.34639961 -0.21339173]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_3",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.43e-05,0.0157798,7.5e-05,0.0219884,6.73e-05,0.0215237,"[ 1.61396390e+00  4.08141449e-01 -1.01486140e-03 -4.40388504e-01
 -9.33284583e-01 -1.53446266e+00 -2.53579555e+00 -4.74851136e+00]","[1.03328981 1.00589362 0.99282381 0.9804387  0.9686656  0.94465341
 0.92491538 0.88860937]","[-0.29502172 -0.37616407 -0.38328715 -0.36576347 -0.37017958 -0.35122275
 -0.30729925 -0.19385765]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_4",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.55e-05,0.0134591,5.79e-05,0.0196397,4.91e-05,0.0183757,"[ 1.6198985   0.48596889 -0.00570141 -0.39836761 -0.91356031 -1.49510327
 -2.53018901 -4.74849921]","[1.03420623 1.00515707 0.99210138 0.98088741 0.96806699 0.944945
 0.92276343 0.88661991]","[-0.30116156 -0.424636   -0.42355742 -0.39517997 -0.38057325 -0.36915692
 -0.35272809 -0.23445843]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_5",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.79e-05,0.0165225,8.99e-05,0.0251658,8.01e-05,0.0240409,"[ 1.55566619  0.38508774  0.01215595 -0.3676695  -0.9754008  -1.50814504
 -2.42475208 -4.87557567]","[1.03313635 1.00490202 0.99265885 0.98053369 0.96873624 0.94485037
 0.92483248 0.88937212]","[-0.28123291 -0.37378046 -0.39749712 -0.40630961 -0.38304704 -0.34887833
 -0.31391545 -0.20728163]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_6",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.07e-05,0.0147755,6.71e-05,0.0210466,4.8e-05,0.0186385,"[ 1.6178615   0.46662015 -0.01695783 -0.41981075 -0.91748099 -1.50234904
 -2.50375922 -4.72326378]","[1.03338702 1.005564   0.99375915 0.98031863 0.96833688 0.94514486
 0.92319936 0.88966357]","[-0.32835933 -0.38710491 -0.38384848 -0.404419   -0.38353107 -0.34310498
 -0.31232569 -0.19798306]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_7",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.86e-05,0.0142862,7.03e-05,0.0205204,6.9e-05,0.0211819,"[ 1.61001945e+00  4.78065989e-01 -7.58630108e-04 -3.89711147e-01
 -9.40692732e-01 -1.49777049e+00 -2.52687151e+00 -4.70489296e+00]","[1.03408183 1.00617344 0.99364417 0.98116341 0.96854834 0.94508325
 0.92540248 0.89011237]","[-0.3237071  -0.4209745  -0.41065681 -0.38804482 -0.38179576 -0.37143073
 -0.3061095  -0.18815237]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_8",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,4.07e-05,0.0170829,5.24e-05,0.0195005,4.96e-05,0.0191713,"[ 1.55925017e+00  4.78749589e-01  1.75157897e-03 -3.81254722e-01
 -8.96790407e-01 -1.49037224e+00 -2.41314508e+00 -4.81899381e+00]","[1.0316997  1.00495709 0.99325063 0.97882176 0.96914487 0.9446322
 0.9234289  0.8880119 ]","[-0.29063513 -0.38909988 -0.38388217 -0.4248695  -0.36174762 -0.37087807
 -0.42875871 -0.23096245]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_9",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.4e-05,0.0156658,6.54e-05,0.0222218,7.12e-05,0.0215876,"[ 1.60525386  0.45158426  0.00712946 -0.4238196  -0.93813565 -1.52733308
 -2.42039988 -4.76584501]","[1.0338211  1.00627896 0.99427338 0.97889681 0.96834247 0.94559833
 0.92530824 0.88876977]","[-0.31404003 -0.41708569 -0.38733571 -0.38180467 -0.39139053 -0.35053877
 -0.31776156 -0.18829211]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_10",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.36e-05,0.013128,4.88e-05,0.0183153,5.98e-05,0.0204235,"[ 1.58220877e+00  5.05468381e-01 -3.66275416e-03 -4.11940091e-01
 -9.24752651e-01 -1.55980013e+00 -2.56467980e+00 -4.68922621e+00]","[1.03439651 1.00331471 0.99381758 0.97920545 0.96743394 0.94346405
 0.92445087 0.88616319]","[-0.27046031 -0.37798633 -0.38056817 -0.39887703 -0.37440413 -0.34604777
 -0.31776682 -0.1881323 ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_12",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.88e-05,0.0143853,5.41e-05,0.0190296,6.1e-05,0.020345,"[ 1.59035289  0.45914539  0.01066308 -0.35307219 -0.93430757 -1.49268863
 -2.57925869 -4.66463925]","[1.03607489 1.00598023 0.99279325 0.98136115 0.96854581 0.94523337
 0.9223592  0.88311765]","[-0.32967756 -0.43037582 -0.40127055 -0.39321976 -0.3816293  -0.33488651
 -0.35937887 -0.21060771]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_13",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.15e-05,0.0150371,5.93e-05,0.0193227,6.03e-05,0.0206862,"[ 1.6037129   0.49539875  0.00568449 -0.39951738 -0.93769617 -1.55811988
 -2.54900357 -4.76108148]","[1.03411159 1.00440891 0.99372077 0.98110126 0.96817343 0.94451585
 0.92303097 0.88350149]","[-0.32480653 -0.36795793 -0.3617014  -0.40683045 -0.38558642 -0.41035889
 -0.33001167 -0.20219957]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_14",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.89e-05,0.0144714,6.06e-05,0.020851,3.66e-05,0.0162951,"[ 1.593871    0.38078026  0.00506185 -0.39226107 -0.8955863  -1.53020636
 -2.55448821 -4.72628693]","[1.03294702 1.00450675 0.99345371 0.9808758  0.96626623 0.94402549
 0.92296667 0.88371716]","[-0.33577833 -0.43322911 -0.39373634 -0.3916083  -0.38269366 -0.39228302
 -0.34521769 -0.23998652]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_15",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.67e-05,0.0138586,6.26e-05,0.0212478,7.05e-05,0.0214554,"[ 1.57662397  0.47676897 -0.00822764 -0.42356645 -0.95311857 -1.49243735
 -2.57364654 -4.70716744]","[1.03476748 1.00400524 0.99299322 0.97994762 0.96810589 0.94618142
 0.924204   0.888682  ]","[-0.26278566 -0.36822217 -0.38288064 -0.39535404 -0.36213311 -0.3351929
 -0.31862396 -0.1860737 ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_16",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.86e-05,0.0167074,6.6e-05,0.0209747,7.78e-05,0.0229156,"[ 1.55820113e+00  4.10483996e-01 -2.64178368e-03 -3.45004807e-01
 -8.86322516e-01 -1.51212485e+00 -2.51983073e+00 -4.70134064e+00]","[1.03396593 1.00538127 0.99427711 0.98053018 0.96778921 0.94486083
 0.92243528 0.89054834]","[-0.30623875 -0.36772715 -0.37815926 -0.39108691 -0.40455125 -0.39463287
 -0.31766389 -0.192224  ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_17",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.56e-05,0.0135651,7.21e-05,0.0212589,5.54e-05,0.0191823,"[ 1.55517729e+00  4.17010677e-01 -2.14460208e-03 -3.72990203e-01
 -8.38597510e-01 -1.48978647e+00 -2.54768105e+00 -4.73244882e+00]","[1.03133418 1.0068273  0.99294362 0.98061064 0.96745799 0.94439855
 0.92367609 0.8881747 ]","[-0.29533319 -0.38914438 -0.39693017 -0.41974764 -0.42005778 -0.36749388
 -0.3168489  -0.2200731 ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_18",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.88e-05,0.0143004,5.26e-05,0.0186373,5.57e-05,0.0185941,"[ 1.64782401e+00  5.08947880e-01 -1.35054692e-04 -4.16405733e-01
 -9.22440207e-01 -1.51271978e+00 -2.65286226e+00 -4.66460086e+00]","[1.03613021 1.00645655 0.99299967 0.98116558 0.96868895 0.94340775
 0.92237387 0.88694222]","[-0.27027166 -0.36842886 -0.41699131 -0.43868941 -0.41058756 -0.3963736
 -0.32430413 -0.21763938]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_19",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.54e-05,0.0135604,5.09e-05,0.0185227,4.04e-05,0.0169603,"[ 1.66408877e+00  3.99169115e-01 -3.47364441e-03 -4.18399767e-01
 -9.29155687e-01 -1.54414032e+00 -2.53933544e+00 -4.74342678e+00]","[1.03622806 1.00557426 0.99286826 0.9802862  0.96794211 0.9446064
 0.92130636 0.88288558]","[-0.31461295 -0.37395196 -0.38534997 -0.4131155  -0.40812914 -0.38577061
 -0.37986266 -0.18560419]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_20",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.64e-05,0.0137218,7.07e-05,0.0207685,5.49e-05,0.0191918,"[ 1.55088331e+00  4.06115866e-01 -1.79057798e-03 -4.20839908e-01
 -9.28781662e-01 -1.52830886e+00 -2.53281415e+00 -4.68412332e+00]","[1.03229636 1.0061125  0.99318591 0.98076726 0.96878292 0.94508368
 0.92441097 0.89180819]","[-0.30656157 -0.3533205  -0.37773475 -0.37517344 -0.35506399 -0.33425217
 -0.29823473 -0.20182205]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_21",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,4.31e-05,0.0176353,0.0001022,0.025859,6.72e-05,0.0210959,"[ 1.59133641e+00  4.40728200e-01  8.12092398e-04 -4.26326533e-01
 -1.00910410e+00 -1.55032214e+00 -2.48879109e+00 -4.67888225e+00]","[1.03450692 1.00625622 0.99402654 0.97786079 0.96809481 0.94406076
 0.92537198 0.8921363 ]","[-0.29389248 -0.37264286 -0.35720707 -0.37040286 -0.32461683 -0.33540841
 -0.2840769  -0.17932615]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_22",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.59e-05,0.0136657,4.46e-05,0.0169903,5.12e-05,0.018916,"[ 1.56959076  0.44470016  0.01620809 -0.42516582 -0.9292615  -1.48689748
 -2.54514299 -4.78718646]","[1.0319455  1.00598373 0.99280599 0.98099741 0.96851241 0.94398376
 0.9221242  0.88853112]","[-0.27364318 -0.40592006 -0.41516212 -0.38913084 -0.35449359 -0.34863048
 -0.31373208 -0.1854641 ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_23",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.48e-05,0.0157572,7.66e-05,0.0229379,8.29e-05,0.0240521,"[ 1.64154231  0.46608379  0.00600644 -0.40399893 -1.0058294  -1.52460261
 -2.6126591  -4.78676634]","[1.03645049 1.0049879  0.99307362 0.9793089  0.96875915 0.94430596
 0.92374895 0.88888017]","[-0.29552155 -0.39119468 -0.40338678 -0.42885286 -0.42160369 -0.40732433
 -0.33474518 -0.19330537]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_24",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.56e-05,0.0135273,6.75e-05,0.0213052,4.34e-05,0.0174505,"[ 1.61447608e+00  3.99746302e-01  1.82748698e-03 -3.83906427e-01
 -8.93850777e-01 -1.54985788e+00 -2.55949470e+00 -4.75770101e+00]","[1.03247963 1.00437338 0.99221907 0.98070089 0.96788807 0.94413621
 0.9239673  0.88784789]","[-0.28256127 -0.38490344 -0.37998817 -0.36688148 -0.35789405 -0.32636184
 -0.31032911 -0.19083981]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_25",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.78e-05,0.0165691,8.17e-05,0.0231632,8.46e-05,0.0217937,"[ 1.60232282e+00  4.77380910e-01 -1.37240276e-03 -3.88466046e-01
 -9.23270304e-01 -1.50632520e+00 -2.55528041e+00 -4.72943552e+00]","[1.03497712 1.00392689 0.99249701 0.98100507 0.96872242 0.94514545
 0.92386528 0.8881631 ]","[-0.27053997 -0.35703603 -0.40125934 -0.37563507 -0.35912434 -0.37272463
 -0.31093317 -0.20159671]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_26",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.1e-05,0.0149575,6.49e-05,0.0209459,5.96e-05,0.0198825,"[ 1.52394324e+00  4.38436634e-01  2.55811088e-03 -4.71116103e-01
 -9.73664377e-01 -1.54838886e+00 -2.52268555e+00 -4.70535436e+00]","[1.03635395 1.00529109 0.99321938 0.9801414  0.96827434 0.94506165
 0.92398426 0.88745143]","[-0.26638123 -0.34865811 -0.35647849 -0.39861269 -0.40898447 -0.33828247
 -0.32665687 -0.19415239]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_27",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.49e-05,0.0159242,6.31e-05,0.0213416,6.62e-05,0.0213896,"[ 1.57530599  0.45008664  0.00580013 -0.37788566 -0.97717932 -1.48442156
 -2.62702663 -4.70676531]","[1.03501084 1.00640286 0.99306612 0.97961125 0.96715093 0.94411453
 0.92296627 0.88970927]","[-0.28473307 -0.40482523 -0.40622474 -0.43435877 -0.39330892 -0.35825285
 -0.29612775 -0.21076484]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_28",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.8e-05,0.0141589,4.43e-05,0.0174666,4.46e-05,0.0180512,"[ 1.61119879e+00  4.56825485e-01  3.67889197e-03 -4.09776880e-01
 -9.16550737e-01 -1.48582457e+00 -2.52856021e+00 -4.67669287e+00]","[1.03599921 1.00507419 0.99294951 0.98070484 0.96895862 0.94343931
 0.92376107 0.89132386]","[-0.3030618  -0.40327506 -0.40621279 -0.39710254 -0.38159371 -0.33450869
 -0.30601103 -0.20908477]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_29",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.28e-05,0.0127264,4.48e-05,0.018066,3.91e-05,0.0167736,"[ 1.63472426e+00  4.87956270e-01  3.50126288e-03 -4.44316969e-01
 -9.61478256e-01 -1.55564142e+00 -2.50785076e+00 -4.70843117e+00]","[1.0335137  1.00549272 0.99328513 0.98058294 0.96912824 0.94394512
 0.92306364 0.88671774]","[-0.30348381 -0.39704542 -0.38021644 -0.3850354  -0.35580473 -0.38230272
 -0.3289407  -0.19579455]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_30",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.72e-05,0.013961,5.41e-05,0.0190669,5.37e-05,0.0189854,"[ 1.62433001  0.50625676 -0.00485442 -0.41872323 -0.88651775 -1.51237351
 -2.5163822  -4.75889594]","[1.03402955 1.00361611 0.99354607 0.9805665  0.96833055 0.94566511
 0.92482969 0.88852647]","[-0.31346212 -0.3709259  -0.3503136  -0.39519257 -0.39833821 -0.3318782
 -0.30565005 -0.19252803]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_31",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.8e-05,0.0140261,5.86e-05,0.0201313,7.56e-05,0.0214794,"[ 1.49490092e+00  4.32905736e-01 -3.08908045e-03 -4.21447001e-01
 -9.05226345e-01 -1.47327909e+00 -2.43413049e+00 -4.72426059e+00]","[1.03367609 1.00490087 0.99301326 0.98127512 0.96919599 0.94554116
 0.9248072  0.88969079]","[-0.31713425 -0.41181125 -0.39427947 -0.40379478 -0.37398136 -0.32664144
 -0.29046629 -0.17830572]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_32",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.57e-05,0.0134481,5.85e-05,0.0201015,6.07e-05,0.0205095,"[ 1.53624842  0.38852834 -0.00628252 -0.44567017 -0.94918084 -1.46767377
 -2.55180767 -4.69426951]","[1.03369998 1.005839   0.99351976 0.97891881 0.96868859 0.945298
 0.92568212 0.89048214]","[-0.25714903 -0.36487112 -0.38071854 -0.37723889 -0.34755832 -0.36772745
 -0.31055535 -0.19027905]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_33",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.95e-05,0.0146076,4.82e-05,0.0185698,7.96e-05,0.0235191,"[ 1.65137324  0.48490425 -0.00740946 -0.34411327 -0.87358415 -1.48237758
 -2.5674572  -4.89243806]","[1.03425237 1.00371809 0.99345545 0.98034517 0.96748473 0.94443484
 0.92039822 0.88053403]","[-0.38264733 -0.44635648 -0.45814059 -0.44620095 -0.4350868  -0.41006871
 -0.39420896 -0.20493114]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_34",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.59e-05,0.0136681,4.58e-05,0.0176246,5.62e-05,0.0195831,"[ 1.57001544e+00  4.48967659e-01  5.65552881e-04 -4.20038107e-01
 -8.94475318e-01 -1.54734302e+00 -2.49188959e+00 -4.74714294e+00]","[1.03558918 1.00455254 0.99340575 0.9801867  0.96823273 0.94461919
 0.92374172 0.88872171]","[-0.27080922 -0.37364005 -0.34929982 -0.41204633 -0.37253994 -0.40295419
 -0.3382142  -0.19757548]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_35",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.61e-05,0.0162922,6.24e-05,0.0208698,6.54e-05,0.0206858,"[ 1.54780659e+00  4.23077971e-01 -3.08048137e-04 -4.09065300e-01
 -9.39418168e-01 -1.46613120e+00 -2.46087980e+00 -4.70270740e+00]","[1.03461718 1.0044333  0.99328238 0.9808063  0.96882386 0.94419773
 0.9234166  0.88508479]","[-0.30682157 -0.38331331 -0.40959901 -0.42875519 -0.40654246 -0.36726547
 -0.32539713 -0.22463244]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_36",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.79e-05,0.0140626,4.47e-05,0.0180031,4.5e-05,0.0177003,"[ 1.52030795  0.50178238  0.00769164 -0.42599043 -0.88385206 -1.50135158
 -2.52305995 -4.70843882]","[1.03432295 1.00624399 0.99374725 0.98091582 0.9686365  0.94460839
 0.92399786 0.88607948]","[-0.28973491 -0.37838963 -0.36575216 -0.37005634 -0.35765449 -0.35723379
 -0.34991252 -0.22411165]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_37",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.77e-05,0.0163434,7.99e-05,0.0232973,7.69e-05,0.0228585,"[ 1.54305065e+00  4.29598064e-01 -6.67213273e-04 -4.20022735e-01
 -8.95675784e-01 -1.50088614e+00 -2.54554248e+00 -4.73922336e+00]","[1.03714894 1.00363075 0.99234591 0.98090374 0.96702801 0.94378514
 0.92075959 0.88031856]","[-0.30923988 -0.39933686 -0.41309893 -0.38798773 -0.39252612 -0.38974031
 -0.3258228  -0.23564869]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_38",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.99e-05,0.0147786,5.13e-05,0.0188003,5.64e-05,0.019632,"[ 1.56681636e+00  4.33188953e-01  4.34497917e-03 -4.24003207e-01
 -9.85954267e-01 -1.45216536e+00 -2.49658993e+00 -4.72283529e+00]","[1.03605434 1.00512392 0.99316325 0.97953869 0.96914325 0.94490461
 0.92524335 0.89101514]","[-0.28838924 -0.42299251 -0.38763477 -0.41032563 -0.35366855 -0.34898392
 -0.29342088 -0.19120195]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_39",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.62e-05,0.0137522,5e-05,0.0177311,6.32e-05,0.02026,"[ 1.63686704  0.46023566 -0.01217502 -0.42006194 -0.89146954 -1.52092439
 -2.56368802 -4.71693495]","[1.03505206 1.00481143 0.99315199 0.98125401 0.96808369 0.94420726
 0.92291995 0.88348466]","[-0.28810285 -0.39546554 -0.37100469 -0.38576369 -0.37349881 -0.4218593
 -0.35289423 -0.21417384]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_40",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.84e-05,0.0142435,5.05e-05,0.0189631,6.41e-05,0.0203409,"[ 1.57649755  0.39303768 -0.01059651 -0.37692893 -0.88498263 -1.52322257
 -2.52083257 -4.69330317]","[1.03320073 1.00474525 0.99270811 0.97986231 0.9690993  0.94513726
 0.92374149 0.88672536]","[-0.32903559 -0.3848793  -0.39302037 -0.3852699  -0.36283282 -0.35093688
 -0.28532984 -0.18895685]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_41",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.98e-05,0.0147023,5.86e-05,0.0206388,3.8e-05,0.0163034,"[ 1.56407082e+00  5.11369083e-01  2.93136210e-03 -4.85474734e-01
 -9.81656357e-01 -1.51746835e+00 -2.52345517e+00 -4.68546504e+00]","[1.03411133 1.00539967 0.99363747 0.97995167 0.9686024  0.94462607
 0.9238657  0.88936345]","[-0.32322363 -0.35092284 -0.34090708 -0.36151173 -0.35014965 -0.3486883
 -0.30416845 -0.19922563]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_42",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,4.19e-05,0.0173752,9.5e-05,0.0246282,0.0001056,0.02602,"[ 1.54471314  0.4527249   0.01243339 -0.38354218 -0.86601753 -1.47513045
 -2.45800262 -4.67763484]","[1.03117788 1.00426695 0.99369276 0.981225   0.96756711 0.94544171
 0.92457236 0.89031318]","[-0.30722639 -0.40155262 -0.38067016 -0.38753376 -0.36688057 -0.38047353
 -0.36599238 -0.1984257 ]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_43",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.52e-05,0.0160122,7.03e-05,0.0218715,9.39e-05,0.0236909,"[ 1.52015828  0.4935885   0.01856807 -0.4407566  -0.93764969 -1.53313041
 -2.44069021 -4.73166276]","[1.03296809 1.00587339 0.99377554 0.98084001 0.96891486 0.94443833
 0.92415529 0.8894119 ]","[-0.30820721 -0.40330592 -0.40021333 -0.38400188 -0.37232878 -0.3583377
 -0.3068999  -0.18609921]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_44",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,3.93e-05,0.016799,6.08e-05,0.020578,8.58e-05,0.0239814,"[ 1.55913027e+00  3.83394295e-01 -4.57157418e-04 -4.47120860e-01
 -9.65680137e-01 -1.52706139e+00 -2.53561085e+00 -4.65553341e+00]","[1.03692292 1.00426862 0.99310704 0.9789135  0.96891705 0.94513713
 0.92249989 0.89111529]","[-0.27517895 -0.38511739 -0.38459658 -0.38021527 -0.3685837  -0.35432857
 -0.29782573 -0.19214945]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_45",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.93e-05,0.0145449,4.49e-05,0.0178358,5.39e-05,0.0195682,"[ 1.57317543e+00  4.13213863e-01  3.38613957e-03 -4.09808852e-01
 -8.76235645e-01 -1.48751903e+00 -2.46736605e+00 -4.78295739e+00]","[1.03428613 1.0053925  0.99302079 0.98125069 0.96828572 0.94537112
 0.92288564 0.88588574]","[-0.29635015 -0.35238056 -0.38227076 -0.37356451 -0.38051498 -0.35772305
 -0.32449581 -0.18994223]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_46",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.92e-05,0.0145173,6.32e-05,0.0217305,5.39e-05,0.0186753,"[ 1.57298632  0.42073789  0.00722818 -0.38096786 -0.92292374 -1.48892049
 -2.53367954 -4.7194017 ]","[1.0349274  1.00440007 0.99336353 0.98058961 0.96803317 0.94168653
 0.92209872 0.88552312]","[-0.27617693 -0.40018728 -0.40767105 -0.39870047 -0.40548472 -0.43714035
 -0.31469449 -0.18567323]"
"2026-08-21T14-48-27_Softplus(beta=1.0, threshold=20.0)_24_47",200,8,8,200,5,"Softplus(beta=1.0, threshold=20.0)",24,1,2.6e-05,0.0135459,4.23e-05,0.0169484,5.96e-05,0.019254,"[ 1.61328575e+00  4.56672012e-01 -2.06781266e-03 -4.29497061e-01
 -9.54108691e-01 -1.52516000e+00 -2.53138320e+00 -4.75405608e+00]","[1.03365778 1.00504286 0.99322712 0.98042196 0.96888239 0.94539915
 0.92371489 0.8850832 ]","[-0.29186089 -0.38810321 -0.39979571 -0.4123031  -0.39401567 -0.35865708
 -0.32084197 -0.17557168]"
